area,session,event,train_object,test_object,acc,auc,evaluation,is_cross_object
F5,MonkeyB_Session07,Event3,Object3,Object2,0.5666666666666667,0.7244444444444444,cross_object_holdout,True
F5,MonkeyB_Session07,Event3,Object3,Object3,0.55,0.5844444444444445,within_object_cv,False
F5,MonkeyB_Session08,Event1,Object1,Object1,0.53,0.5111111111111112,within_object_cv,False
F5,MonkeyB_Session08,Event1,Object1,Object2,0.5,0.5288888888888889,cross_object_holdout,True
F5,MonkeyB_Session08,Event1,Object1,Object3,0.43333333333333335,0.4177777777777778,cross_object_holdout,True
F5,MonkeyB_Session08,Event1,Object2,Object1,0.5333333333333333,0.4888888888888888,cross_object_holdout,True
F5,MonkeyB_Session08,Event1,Object2,Object2,0.4433333333333333,0.4555555555555555,within_object_cv,False
F5,MonkeyB_Session08,Event1,Object2,Object3,0.4,0.4177777777777778,cross_object_holdout,True
F5,MonkeyB_Session08,Event1,Object3,Object1,0.4666666666666667,0.4177777777777777,cross_object_holdout,True
F5,MonkeyB_Session08,Event1,Object3,Object2,0.4666666666666667,0.4533333333333333,cross_object_holdout,True
F5,MonkeyB_Session08,Event1,Object3,Object3,0.4433333333333333,0.5177777777777779,within_object_cv,False
F5,MonkeyB_Session08,Event3,Object1,Object1,0.57,0.5155555555555555,within_object_cv,False
F5,MonkeyB_Session08,Event3,Object1,Object2,0.4,0.52,cross_object_holdout,True
F5,MonkeyB_Session08,Event3,Object1,Object3,0.6333333333333333,0.8,cross_object_holdout,True
F5,MonkeyB_Session08,Event3,Object2,Object1,0.5666666666666667,0.5644444444444444,cross_object_holdout,True
F5,MonkeyB_Session08,Event3,Object2,Object2,0.5933333333333334,0.6155555555555555,within_object_cv,False
F5,MonkeyB_Session08,Event3,Object2,Object3,0.5666666666666667,0.49777777777777776,cross_object_holdout,True
F5,MonkeyB_Session08,Event3,Object3,Object1,0.6,0.6044444444444445,cross_object_holdout,True
F5,MonkeyB_Session08,Event3,Object3,Object2,0.4666666666666667,0.4,cross_object_holdout,True
F5,MonkeyB_Session08,Event3,Object3,Object3,0.6933333333333332,0.7222222222222221,within_object_cv,False
F5,MonkeyB_Session10,Event1,Object1,Object1,0.5419999999999999,0.5844444444444444,within_object_cv,False
F5,MonkeyB_Session10,Event1,Object1,Object2,0.5,0.5282051282051282,cross_object_holdout,True
F5,MonkeyB_Session10,Event1,Object1,Object3,0.6,0.6844444444444444,cross_object_holdout,True
F5,MonkeyB_Session10,Event1,Object2,Object1,0.5172413793103449,0.5380952380952381,cross_object_holdout,True
F5,MonkeyB_Session10,Event1,Object2,Object2,0.3493333333333333,0.2833333333333334,within_object_cv,False
F5,MonkeyB_Session10,Event1,Object2,Object3,0.4666666666666667,0.5022222222222221,cross_object_holdout,True
F5,MonkeyB_Session10,Event1,Object3,Object1,0.5862068965517241,0.7047619047619048,cross_object_holdout,True
F5,MonkeyB_Session10,Event1,Object3,Object2,0.4642857142857143,0.4923076923076923,cross_object_holdout,True
F5,MonkeyB_Session10,Event1,Object3,Object3,0.5333333333333333,0.4600000000000001,within_object_cv,False
F5,MonkeyB_Session10,Event3,Object1,Object1,0.616,0.7255555555555554,within_object_cv,False
F5,MonkeyB_Session10,Event3,Object1,Object2,0.7857142857142857,0.7897435897435897,cross_object_holdout,True
F5,MonkeyB_Session10,Event3,Object1,Object3,0.8,0.7911111111111111,cross_object_holdout,True
F5,MonkeyB_Session10,Event3,Object2,Object1,0.6896551724137931,0.719047619047619,cross_object_holdout,True
F5,MonkeyB_Session10,Event3,Object2,Object2,0.7879999999999998,0.87,within_object_cv,False
F5,MonkeyB_Session10,Event3,Object2,Object3,0.6333333333333333,0.72,cross_object_holdout,True
F5,MonkeyB_Session10,Event3,Object3,Object1,0.7241379310344828,0.8809523809523809,cross_object_holdout,True
F5,MonkeyB_Session10,Event3,Object3,Object2,0.7857142857142857,0.8153846153846154,cross_object_holdout,True
F5,MonkeyB_Session10,Event3,Object3,Object3,0.6333333333333333,0.617777777777778,within_object_cv,False
F5,MonkeyB_Session11,Event1,Object1,Object1,0.6333333333333333,0.7088888888888889,within_object_cv,False
F5,MonkeyB_Session11,Event1,Object1,Object2,0.5666666666666667,0.6266666666666667,cross_object_holdout,True
F5,MonkeyB_Session11,Event1,Object1,Object3,0.4666666666666667,0.3688888888888889,cross_object_holdout,True
F5,MonkeyB_Session11,Event1,Object2,Object1,0.6896551724137931,0.661904761904762,cross_object_holdout,True
F5,MonkeyB_Session11,Event1,Object2,Object2,0.56,0.5733333333333334,within_object_cv,False
F5,MonkeyB_Session11,Event1,Object2,Object3,0.5,0.36444444444444446,cross_object_holdout,True
F5,MonkeyB_Session11,Event1,Object3,Object1,0.4482758620689655,0.30952380952380953,cross_object_holdout,True
F5,MonkeyB_Session11,Event1,Object3,Object2,0.4,0.3688888888888889,cross_object_holdout,True
F5,MonkeyB_Session11,Event1,Object3,Object3,0.62,0.6355555555555555,within_object_cv,False
F5,MonkeyB_Session11,Event3,Object1,Object1,0.8046666666666665,0.9111111111111111,within_object_cv,False
F5,MonkeyB_Session11,Event3,Object1,Object2,0.8,0.88,cross_object_holdout,True
F5,MonkeyB_Session11,Event3,Object1,Object3,0.7333333333333333,0.8222222222222222,cross_object_holdout,True
F5,MonkeyB_Session11,Event3,Object2,Object1,0.7586206896551724,0.9142857142857143,cross_object_holdout,True
F5,MonkeyB_Session11,Event3,Object2,Object2,0.8866666666666667,0.9266666666666667,within_object_cv,False
F5,MonkeyB_Session11,Event3,Object2,Object3,0.7,0.84,cross_object_holdout,True
F5,MonkeyB_Session11,Event3,Object3,Object1,0.6896551724137931,0.9142857142857143,cross_object_holdout,True
F5,MonkeyB_Session11,Event3,Object3,Object2,0.8,0.9066666666666667,cross_object_holdout,True
F5,MonkeyB_Session11,Event3,Object3,Object3,0.68,0.757777777777778,within_object_cv,False
F5,MonkeyB_Session12,Event1,Object1,Object1,0.5366666666666666,0.5555555555555557,within_object_cv,False
F5,MonkeyB_Session12,Event1,Object1,Object2,0.6,0.5155555555555555,cross_object_holdout,True
F5,MonkeyB_Session12,Event1,Object1,Object3,0.7,0.6266666666666667,cross_object_holdout,True
F5,MonkeyB_Session12,Event1,Object2,Object1,0.43333333333333335,0.4666666666666667,cross_object_holdout,True
F5,MonkeyB_Session12,Event1,Object2,Object2,0.5333333333333333,0.52,within_object_cv,False
F5,MonkeyB_Session12,Event1,Object2,Object3,0.4,0.3688888888888889,cross_object_holdout,True
F5,MonkeyB_Session12,Event1,Object3,Object1,0.5333333333333333,0.6577777777777778,cross_object_holdout,True
F5,MonkeyB_Session12,Event1,Object3,Object2,0.4666666666666667,0.33777777777777773,cross_object_holdout,True
